IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,##########,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.4192,37.7874378,"(37.7874378309112, -122.419203004268)",1.6001E+13
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,##########,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-122.41269,37.7493688,"(37.7493688284532, -122.412690142308)",1.6001E+13
160007057,NON-CRIMINAL,AIDED CASE,Sunday,##########,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-122.43461,37.709201,"(37.7092010462379, -122.434609280352)",1.6001E+13
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,##########,15:40,CENTRAL,NONE,500 Block of POST ST,-122.41088,37.7879209,"(37.7879209375533, -122.410882825551)",1.6001E+13
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,##########,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.40143,37.8004566,"(37.8004566471039, -122.401432754722)",1.6001E+13
160138652,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/16/2016 12:00:00 AM,12:40,INGLESIDE,NONE,3300 Block of MISSION ST,-122.42113,37.7435551,"(37.7435550542265, -122.421128029505)",1.6014E+13
160138771,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,02/16/2016 12:00:00 AM,13:10,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.40724,37.7865648,"(37.7865647607685, -122.407244087032)",1.6014E+13
160139490,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.4238,37.7615656,"(37.7615655928045, -122.423803001901)",1.6014E+13
160139490,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.4238,37.7615656,"(37.7615655928045, -122.423803001901)",1.6014E+13
160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,##########,19:45,INGLESIDE,NONE,100 Block of AMBER DR,-122.44469,37.7441928,"(37.7441927508932, -122.444685482273)",1.6001E+13
160148877,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,02/19/2016 12:00:00 AM,16:39,SOUTHERN,NONE,1300 Block of MISSION ST,-122.41576,37.7754693,"(37.7754692820041, -122.415757039196)",1.6015E+13
